pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,lgbm328,2022-08-15,lgbm328,1194.819841,979.8737073573327
baseline_pool_l,lgbm328,2022-08-16,lgbm328,1232.401458,985.0445292065843
baseline_pool_l,lgbm328,2022-08-17,lgbm328,1241.041994,985.9880472343507
baseline_pool_l,lgbm328,2022-08-18,lgbm328,1161.351937,945.4017034383169
baseline_pool_l,lgbm328,2022-08-19,lgbm328,1060.353339,884.3561963316773
baseline_pool_l,lgbm328,2022-08-22,lgbm328,1172.086799,936.0879459373126
baseline_pool_l,lgbm328,2022-08-23,lgbm328,1015.231405,915.9275863608304
baseline_pool_l,lgbm328,2022-08-24,lgbm328,848.245897,907.3151055073708
baseline_pool_l,lgbm328,2022-08-25,lgbm328,765.970215,874.4464622278754
baseline_pool_l,lgbm328,2022-08-26,lgbm328,738.223539,846.9541780439298
baseline_pool_l,lgbm328,2022-08-29,lgbm328,740.283169,787.7941364522558
baseline_pool_l,lgbm328,2022-08-30,lgbm328,516.211361,723.5686560184932
baseline_pool_l,lgbm328,2022-08-31,lgbm328,353.817011,698.6346827747394
baseline_pool_l,lgbm328,2022-09-01,lgbm328,388.691612,694.0478230248627
baseline_pool_l,lgbm328,2022-09-02,lgbm328,457.401081,691.6166225809704
baseline_pool_l,lgbm328,2022-09-05,lgbm328,600.102288,745.3478893584172
baseline_pool_l,lgbm328,2022-09-06,lgbm328,758.947210,801.2161101767313
baseline_pool_l,lgbm328,2022-09-07,lgbm328,745.948033,812.8925629182454
baseline_pool_l,lgbm328,2022-09-08,lgbm328,636.496066,761.9972456113198
baseline_pool_l,lgbm328,2022-09-09,lgbm328,621.571485,731.3598072359514
baseline_pool_l,lgbm328,2022-09-13,lgbm328,567.466984,734.2412126415618
baseline_pool_l,lgbm328,2022-09-14,lgbm328,380.996989,669.6365602420756
baseline_pool_l,lgbm328,2022-09-15,lgbm328,111.434382,644.2068025417384
