scope,condition,year,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,decision_within_10bps,2023,2420,3348.3305785123966,100.0,0.19297520661157025,0.001652892561983471,0.005763325994451411,0.001652892561983471,0.28679491036508753,182.1424760635851,0.0030106194390675223,6.942944780384877,28.297674086598416,21.35472930621354,28.294811137377543,21.351866356992666,21.34938333885159,-0.0028629492208729346
published_top100,decision_within_25bps,2023,2420,3348.3305785123966,100.0,0.30247933884297523,0.008264462809917356,0.009033735819996643,0.008264462809917356,0.9148444203585784,90.6321183353274,0.007490257713663422,6.942944780384877,28.297674086598416,21.35472930621354,28.292238374963606,21.349293594578732,21.34580468837417,-0.005435711634806495
published_top100,decision_within_50bps,2023,2420,3348.3305785123966,100.0,0.4871900826446281,0.03512396694214876,0.014550238431388035,0.035123966942148754,2.41397878857976,90.77953199517566,0.03188537280822285,6.942944780384877,28.297674086598416,21.35472930621354,28.28494286786096,21.34199808747608,21.340989430084846,-0.012731218737457084
published_top100,decision_within_100bps,2023,2420,3348.3305785123966,100.0,0.9008264462809917,0.14132231404958678,0.026903748753541918,0.14132231404958676,5.2528855864735755,84.05609063563355,0.1187900123858953,6.942944780384877,28.297674086598416,21.35472930621354,28.20590277029897,21.262957989914096,21.26372434872971,-0.09177131629944313
published_top100,decision_within_200bps,2023,2420,3348.3305785123966,100.0,2.1789256198347107,0.5805785123966942,0.06507498494377363,0.5805785123966942,8.921684928522506,35.161031552381615,0.20413739393014943,6.942944780384877,28.297674086598416,21.35472930621354,28.349450235583298,21.40650545519842,21.393544692295762,0.05177614898488159
published_top100,entry_no_offer,2023,2420,3348.3305785123966,100.0,0.0,0.0,0.0,0.0,,,0.0,6.942944780384877,28.297674086598416,21.35472930621354,28.297674086598416,21.35472930621354,21.35472930621354,0.0
published_top100,entry_at_limit_with_offer,2023,2420,3348.3305785123966,100.0,0.10371900826446281,0.00371900826446281,0.0030976334574032206,0.00371900826446281,1.2005966217773534,-213.98435791175865,-0.007958095955395983,6.942944780384877,28.297674086598416,21.35472930621354,28.30990835412426,21.366963573739387,21.36641049373082,0.012234267525847997
published_top100,entry_within_50bps,2023,2420,3348.3305785123966,100.0,0.42768595041322316,0.05578512396694215,0.012773110073355909,0.05578512396694215,4.3673877111031265,68.82902768488997,0.038396358419256794,6.942944780384877,28.297674086598416,21.35472930621354,28.293983918192577,21.351039137807703,21.351270050022617,-0.003690168405835692
published_top100,entry_within_100bps,2023,2420,3348.3305785123966,100.0,0.8586776859504133,0.18223140495867768,0.025644949499935826,0.1822314049586777,7.105937368257782,71.7124816742725,0.13068266288576108,6.942944780384877,28.297674086598416,21.35472930621354,28.221924510200054,21.278979729815184,21.282108714396788,-0.07574957639835489
published_top100,entry_within_200bps,2023,2420,3348.3305785123966,100.0,2.1913223140495868,0.6681818181818182,0.06544522001836366,0.6681818181818182,10.20978794164538,48.21902205838819,0.3221907382992302,6.942944780384877,28.297674086598416,21.35472930621354,28.23315703604819,21.290212255663313,21.282033360307828,-0.06451705055022572
published_top100,daily_closes_up_limit,2023,2420,3348.3305785123966,100.0,16.222727272727273,4.013636363636364,0.4845019597776615,4.013636363636364,8.284045673371944,840.7004711579805,33.74265981965895,6.942944780384877,28.297674086598416,21.35472930621354,-4.030279862147245,-10.97322464253212,-6.37773414795305,-32.32795394874566
published_top100,daily_up_limit_not_current_within_100bps,2023,2420,3348.3305785123966,100.0,15.664876033057851,3.9190082644628097,0.4678413814211103,3.91900826446281,8.37678841610477,854.5934590156678,33.49158828638262,6.942944780384877,28.297674086598416,21.35472930621354,-3.7913543288972895,-10.734299109282164,-6.181154475507206,-32.089028415495704
scoreable_pool,decision_no_offer,2023,2420,3348.3305785123966,100.0,0.05,0.00041322314049586776,0.0014932814675131063,0.00041322314049586776,0.27672153541424765,-344.0516719095832,-0.001421701123593319,6.942944780384877,28.297674086598416,21.35472930621354,28.300599199972805,21.357654419587924,21.356317634043833,0.0029251133743848357
scoreable_pool,decision_at_limit,2023,2420,3348.3305785123966,100.0,0.10950413223140495,0.0008264462809917355,0.003270409825545233,0.0008264462809917355,0.2527041946047092,31.27533608175803,0.00025847385191535565,6.942944780384877,28.297674086598416,21.35472930621354,28.297838704071427,21.354893923686557,21.351849817062504,0.00016461747301832474
scoreable_pool,decision_at_limit_with_offer,2023,2420,3348.3305785123966,100.0,0.05950413223140496,0.00041322314049586776,0.0017771283580321267,0.00041322314049586776,0.23252295684113866,406.60234407309923,0.0016801749755086747,6.942944780384877,28.297674086598416,21.35472930621354,28.294913590697043,21.35196881031217,21.350261531194427,-0.0027604959013700636
