scope,condition,month,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,decision_within_200bps,2022-08,230,3165.769565217391,100.0,2.508695652173913,0.3652173913043478,0.07924441752606344,0.3652173913043478,4.608745987491523,144.57874222641854,0.5280267107399634,-24.76861719804744,-32.029271642727274,-7.2606544446798145,-32.4662977165098,-7.69768051846235,-7.617258016519337,-0.4370260737825351
published_top100,decision_within_200bps,2022-09,210,3180.7809523809524,100.0,1.4047619047619047,0.2761904761904762,0.04416405674557312,0.2761904761904762,6.253738821630347,-115.60905626514116,-0.31930120301800896,-85.0767528305485,-74.3224464730514,10.754306357497102,-74.14527874578705,10.931474084761438,10.90604604433768,0.1771677272643366
published_top100,decision_within_200bps,2022-10,160,3217.7625,100.0,3.05,0.64375,0.09478636164104716,0.6437499999999999,6.791588883196721,159.29141700622458,1.0254384969775707,71.61149334929883,81.66342755990662,10.051934210607781,81.32670493957833,9.715211590279509,9.698326047805628,-0.33672262032827227
published_top100,decision_within_200bps,2022-11,220,3247.7045454545455,100.0,2.2590909090909093,0.42727272727272725,0.06955961903162373,0.42727272727272725,6.142539784159503,30.59114515040123,0.13070762018807805,49.81223380312758,47.717964422209874,-2.094269380917706,47.94107291245677,-1.8711608906708184,-1.909312298660936,0.22310849024688761
published_top100,decision_within_200bps,2022-12,220,3225.940909090909,100.0,1.6363636363636365,0.38636363636363635,0.05072515841044262,0.38636363636363635,7.616804924242425,50.31554689090953,0.19440097662396869,-25.20732295660042,-18.818742739896255,6.388580216704171,-18.850186610310583,6.357136346289836,6.315890867074982,-0.031443870414335606
published_top100,entry_no_offer,2022-07,210,3118.3714285714286,100.0,0.0,0.0,0.0,0.0,,,0.0,28.85734178969932,69.60760987608789,40.75026808638857,69.60760987608789,40.75026808638857,40.75026808638857,0.0
published_top100,entry_no_offer,2022-08,230,3165.769565217391,100.0,0.0,0.0,0.0,0.0,,,0.0,-24.76861719804744,-32.029271642727274,-7.2606544446798145,-32.029271642727274,-7.2606544446798145,-7.2606544446798145,0.0
published_top100,entry_no_offer,2022-09,210,3180.7809523809524,100.0,0.0,0.0,0.0,0.0,,,0.0,-85.0767528305485,-74.3224464730514,10.754306357497102,-74.3224464730514,10.754306357497102,10.754306357497102,0.0
published_top100,entry_no_offer,2022-10,160,3217.7625,100.0,0.0,0.0,0.0,0.0,,,0.0,71.61149334929883,81.66342755990662,10.051934210607781,81.66342755990662,10.051934210607781,10.051934210607781,0.0
published_top100,entry_no_offer,2022-11,220,3247.7045454545455,100.0,0.0,0.0,0.0,0.0,,,0.0,49.81223380312758,47.717964422209874,-2.094269380917706,47.717964422209874,-2.094269380917706,-2.094269380917706,0.0
published_top100,entry_no_offer,2022-12,220,3225.940909090909,100.0,0.0,0.0,0.0,0.0,,,0.0,-25.20732295660042,-18.818742739896255,6.388580216704171,-18.818742739896255,6.388580216704171,6.388580216704171,0.0
published_top100,entry_at_limit_with_offer,2022-07,210,3118.3714285714286,100.0,0.19047619047619047,0.004761904761904762,0.006108194448262066,0.004761904761904762,0.7795928571428572,-996.2409637344738,-0.047440045892117796,28.85734178969932,69.60760987608789,40.75026808638857,69.64072583662318,40.783384046923864,40.76770949273599,0.03311596053529087
published_top100,entry_at_limit_with_offer,2022-08,230,3165.769565217391,100.0,0.12173913043478261,0.0,0.003845482999531675,0.0,0.0,,0.0,-24.76861719804744,-32.029271642727274,-7.2606544446798145,-32.029271642727274,-7.2606544446798145,-7.254710209887462,0.0
published_top100,entry_at_limit_with_offer,2022-09,210,3180.7809523809524,100.0,0.06190476190476191,0.009523809523809525,0.0019462126701439001,0.009523809523809525,4.893509157509158,-607.4134817141492,-0.05784890302039516,-85.0767528305485,-74.3224464730514,10.754306357497102,-74.27891594880286,10.797836881745637,10.791479701124908,0.043530524248534874
published_top100,entry_at_limit_with_offer,2022-10,160,3217.7625,100.0,0.14375,0.0,0.004467389995377223,0.0,0.0,,0.0,71.61149334929883,81.66342755990662,10.051934210607781,81.66342755990662,10.051934210607781,10.06945058624194,0.0
published_top100,entry_at_limit_with_offer,2022-11,220,3247.7045454545455,100.0,0.12272727272727273,0.004545454545454545,0.0037788927844141667,0.004545454545454545,1.2028535353535352,-205.7611149904548,-0.009352777954111581,49.81223380312758,47.717964422209874,-2.094269380917706,47.7227025297803,-2.0895312733472786,-2.091225401888463,0.004738107570427363
published_top100,entry_at_limit_with_offer,2022-12,220,3225.940909090909,100.0,0.08181818181818182,0.0,0.002536257920522131,0.0,0.0,,0.0,-25.20732295660042,-18.818742739896255,6.388580216704171,-18.818742739896255,6.388580216704171,6.39207536602269,0.0
published_top100,entry_within_50bps,2022-07,210,3118.3714285714286,100.0,0.8333333333333334,0.06190476190476191,0.026723350711146537,0.0619047619047619,2.3165044897959186,93.7298612017944,0.05802324741063463,28.85734178969932,69.60760987608789,40.75026808638857,69.70433315423337,40.84699136453405,40.835111053755526,0.09672327814547543
published_top100,entry_within_50bps,2022-08,230,3165.769565217391,100.0,0.5739130434782609,0.030434782608695653,0.018128705569220756,0.03043478260869565,1.678817193675889,167.7936864625467,0.051067643705992476,-24.76861719804744,-32.029271642727274,-7.2606544446798145,-32.042925137057914,-7.274307939010443,-7.237424147773396,-0.013653494330628568
published_top100,entry_within_50bps,2022-09,210,3180.7809523809524,100.0,0.18095238095238095,0.01904761904761905,0.005688929343497554,0.01904761904761905,3.348190476190476,-325.9765360993294,-0.06209076878082465,-85.0767528305485,-74.3224464730514,10.754306357497102,-74.31629030696404,10.760462523584462,10.751423138881156,0.0061561660873596935
published_top100,entry_within_50bps,2022-10,160,3217.7625,100.0,0.44375,0.0375,0.013790638681381862,0.0375,2.7192359154929577,-279.2523639031413,-0.10471963646367799,71.61149334929883,81.66342755990662,10.051934210607781,81.94496654139007,10.333473192091237,10.336796127679886,0.2815389814834557
published_top100,entry_within_50bps,2022-11,220,3247.7045454545455,100.0,0.4727272727272727,0.022727272727272728,0.014555735169595308,0.022727272727272728,1.561396416083916,-68.62661479648868,-0.015596957908292873,49.81223380312758,47.717964422209874,-2.094269380917706,47.719428339104184,-2.0928054640233897,-2.1048881277569027,0.0014639168943162417
published_top100,entry_within_50bps,2022-12,220,3225.940909090909,100.0,0.33181818181818185,0.045454545454545456,0.01028593489989531,0.045454545454545456,4.419097135740971,216.65238820761914,0.09847835827619053,-25.20732295660042,-18.818742739896255,6.388580216704171,-18.9816942363477,6.225628720252719,6.224083710283645,-0.16295149645145202
published_top100,entry_within_100bps,2022-07,210,3118.3714285714286,100.0,1.3333333333333333,0.1761904761904762,0.04275736113783446,0.17619047619047618,4.120705102040817,-26.96903805423354,-0.04751687657174481,28.85734178969932,69.60760987608789,40.75026808638857,69.87531315575845,41.017971366059136,41.00150673937127,0.2677032796705632
published_top100,entry_within_100bps,2022-08,230,3165.769565217391,100.0,0.9956521739130435,0.11304347826086956,0.03145055738902691,0.11304347826086955,3.5943235238276054,353.6672665677993,0.3997977795983818,-24.76861719804744,-32.029271642727274,-7.2606544446798145,-32.31913420349578,-7.550517005448325,-7.493125645229237,-0.28986256076851014
published_top100,entry_within_100bps,2022-09,210,3180.7809523809524,100.0,0.3904761904761905,0.05714285714285714,0.012276110688599984,0.05714285714285715,4.654801393728223,-226.19552063524117,-0.12925458322013783,-85.0767528305485,-74.3224464730514,10.754306357497102,-74.28442027987637,10.79233255067213,10.78541713374795,0.03802619317502831
published_top100,entry_within_100bps,2022-10,160,3217.7625,100.0,0.94375,0.15,0.02932938649138959,0.15,5.114324503311258,-102.47435036463179,-0.15371152554694764,71.61149334929883,81.66342755990662,10.051934210607781,81.99424345551898,10.382750106220149,10.370023685767404,0.3308158956123677
published_top100,entry_within_100bps,2022-11,220,3247.7045454545455,100.0,0.8818181818181818,0.10454545454545454,0.02715204445097586,0.10454545454545454,3.8503713683223992,-65.58276360203746,-0.06856379831122097,49.81223380312758,47.717964422209874,-2.094269380917706,47.758218645138484,-2.0540151579890935,-2.0736097798216764,0.04025422292861247
published_top100,entry_within_100bps,2022-12,220,3225.940909090909,100.0,0.5818181818181818,0.09545454545454546,0.018035611879268488,0.09545454545454546,5.2925593039772725,-6.1776659312454,-0.0058968629343706495,-25.20732295660042,-18.818742739896255,6.388580216704171,-18.699034470995425,6.508288485604997,6.505823535125022,0.1197082689008262
