scope,condition,clock,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,daily_up_limit_not_current_within_100bps,09:31,969,3366.3642930856554,100.0,27.388028895768834,4.706914344685242,0.8135788795057766,4.706914344685242,5.785443136803827,909.6459386620709,42.81625517273174,12.08094938591074,33.867445967696845,21.7864965817861,-6.720042875828518,-18.80099226173926,-10.779808129563804,-40.587488843525364
published_top100,daily_up_limit_not_current_within_100bps,09:32,969,3359.075335397317,100.0,26.73374613003096,5.444788441692467,0.7958662268843949,5.444788441692467,6.841336216775234,880.204379505808,47.92526631860313,13.107300496115242,35.685510405568614,22.578209909453374,-9.656486403348946,-22.763786899464186,-15.140968363135238,-45.34199680891756
published_top100,daily_up_limit_not_current_within_100bps,09:33,969,3352.3653250773996,100.0,26.094943240454075,5.259029927760578,0.7784039240965361,5.259029927760578,6.756170883727924,850.6261746482868,44.73468509811836,12.158557548603186,32.82412107542393,20.665563526820744,-8.354552977622923,-20.513110526226107,-13.174552397322387,-41.17867405304685
published_top100,daily_up_limit_not_current_within_100bps,09:34,969,3341.9731682146544,100.0,25.526315789473685,4.47265221878225,0.7638097167342108,4.47265221878225,5.855715266239059,842.4822723007693,37.68130204490747,12.19526606409853,30.32557502689261,18.130308962794082,-4.737410115902195,-16.932676180000726,-9.839292237556457,-35.06298514279481
published_top100,daily_up_limit_not_current_within_100bps,09:35,969,3341.5407636738905,100.0,25.038183694530442,4.6191950464396285,0.7493005611878863,4.6191950464396285,6.1646758132900565,831.0407166038694,38.38739161526233,11.721873312959445,28.34739226860814,16.625518955648698,-7.796136889938898,-19.518010202898346,-12.636690376915851,-36.14352915854704
published_top100,daily_up_limit_not_current_within_100bps,09:36,969,3330.7430340557275,100.0,24.636738906088752,4.722394220846233,0.7396769625932226,4.722394220846233,6.384400839374611,826.6424606381448,39.037315788236846,11.147573340172695,27.681430253209665,16.53385691303697,-8.537213346007727,-19.68478668618042,-12.966461267283114,-36.21864359921739
published_top100,daily_up_limit_not_current_within_100bps,09:37,969,3318.656346749226,100.0,24.215686274509803,4.429308565531476,0.7296834545170718,4.429308565531476,6.070178154804039,816.1146855963891,36.14823767368113,10.583675161101725,27.10959155093119,16.525916389829465,-6.870766181516585,-17.45444134261831,-10.888099556415968,-33.98035773244777
published_top100,daily_up_limit_not_current_within_100bps,09:38,969,3311.533539731682,100.0,23.75954592363261,4.30030959752322,0.7174786436122804,4.30030959752322,5.993641254424671,811.5649429047996,34.899805129868945,10.338433283938315,24.190091788083745,13.851658504145428,-8.338486364925684,-18.676919648863997,-12.287709049971784,-32.52857815300943
published_top100,daily_up_limit_not_current_within_100bps,09:39,969,3307.1630546955626,100.0,23.410732714138287,4.116615067079463,0.7078796033627479,4.116615067079463,5.815416982667225,814.6041793040207,33.53411838228833,9.669375929469336,22.225458252294665,12.556082322825326,-8.731261844161361,-18.400637773630695,-12.147362732964648,-30.95672009645602
published_top100,daily_up_limit_not_current_within_100bps,09:40,969,3309.529411764706,100.0,23.110423116615067,3.82249742002064,0.6982993725471119,3.8224974200206394,5.474009529863566,810.2177327782878,30.970551931999772,9.44682360263554,21.907234247537193,12.460410644901652,-5.890866132209205,-15.337689734844744,-9.220571732659659,-27.798100379746394
