Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
capacity_only,pool_L,month,2025-05,62.23745487641056,9155.629060154211
capacity_only,pool_L,month,2025-06,599.8482365585395,8618.018278472084
capacity_only,pool_L,month,2025-07,360.81603953756485,8857.050475493057
capacity_only,pool_L,month,2025-08,1037.94340260867,8179.923112421952
capacity_only,pool_L,month,2025-09,496.7844477966618,8721.082067233961
capacity_only,pool_L,month,2025-10,-25.064613643549777,9242.931128674172
capacity_only,pool_L,month,2025-11,116.64959470820357,9101.216920322418
capacity_only,pool_L,month,2025-12,483.2770406814511,8734.589474349172
realistic_no_refill,pool_L,month,2022-01,-807.6628252321167,8241.048871870044
realistic_no_refill,pool_L,month,2022-02,696.969085775569,6736.416960862358
realistic_no_refill,pool_L,month,2022-03,-126.53486066624164,7559.920907304168
realistic_no_refill,pool_L,month,2022-04,-569.120436448497,8002.506483086423
realistic_no_refill,pool_L,month,2022-05,666.6268492879439,6766.759197349983
realistic_no_refill,pool_L,month,2022-06,774.3247727121626,6659.061273925764
realistic_no_refill,pool_L,month,2022-07,439.4346983780787,6993.951348259848
realistic_no_refill,pool_L,month,2022-08,-389.67832464418797,7823.064371282115
realistic_no_refill,pool_L,month,2022-09,-736.8047438765557,8170.190790514482
realistic_no_refill,pool_L,month,2022-10,392.3691807847155,7041.016865853211
realistic_no_refill,pool_L,month,2022-11,367.4632370093535,7065.922809628573
realistic_no_refill,pool_L,month,2022-12,-253.70151910810696,7687.087565746034
realistic_no_refill,pool_L,month,2023-01,472.38090520599326,6961.005141431933
realistic_no_refill,pool_L,month,2023-02,245.3358099231677,7188.050236714759
realistic_no_refill,pool_L,month,2023-03,221.53192715291792,7211.854119485009
realistic_no_refill,pool_L,month,2023-04,254.44647827477644,7178.93956836315
realistic_no_refill,pool_L,month,2023-05,214.85166718979872,7218.534379448128
realistic_no_refill,pool_L,month,2023-06,335.14877148524056,7098.2372751526855
realistic_no_refill,pool_L,month,2023-07,-217.96331048662904,7651.349357124555
realistic_no_refill,pool_L,month,2023-08,-144.77376938890984,7578.159816026837
realistic_no_refill,pool_L,month,2023-09,129.9326630338972,7303.453383604029
realistic_no_refill,pool_L,month,2023-10,21.045996516682116,7412.3400501212445
realistic_no_refill,pool_L,month,2023-11,296.7041356912992,7136.681910946627
realistic_no_refill,pool_L,month,2023-12,-157.9257183905168,7591.311765028443
realistic_no_refill,pool_L,month,2024-01,-1439.1852476368645,8872.57129427479
realistic_no_refill,pool_L,month,2024-02,1200.551325070582,6232.834721567345
realistic_no_refill,pool_L,month,2024-03,522.6831062079146,6910.702940430012
realistic_no_refill,pool_L,month,2024-04,96.59965085514958,7336.786395782777
realistic_no_refill,pool_L,month,2024-05,-245.25355150007616,7678.639598138003
realistic_no_refill,pool_L,month,2024-06,-375.25134624206174,7808.6373928799885
realistic_no_refill,pool_L,month,2024-07,70.31389453653415,7363.072152101392
realistic_no_refill,pool_L,month,2024-08,-618.0397700027414,8051.425816640668
realistic_no_refill,pool_L,month,2024-09,2108.697067960703,5324.6889786772235
realistic_no_refill,pool_L,month,2024-10,160.92093371443033,7272.465112923496
realistic_no_refill,pool_L,month,2024-11,381.52691444107086,7051.859132196856
realistic_no_refill,pool_L,month,2024-12,-389.56558977914136,7822.951636417068
realistic_no_refill,pool_L,month,2025-01,130.73697790083764,7302.649068737089
realistic_no_refill,pool_L,month,2025-02,1047.1666734995813,6386.219373138345
realistic_no_refill,pool_L,month,2025-03,-99.8955442979991,7533.281590935925
realistic_no_refill,pool_L,month,2025-04,180.6557604455088,7252.730286192418
realistic_no_refill,pool_L,month,2025-05,53.06214467136619,7380.323901966561
realistic_no_refill,pool_L,month,2025-06,468.77886636673253,6964.607180271194
realistic_no_refill,pool_L,month,2025-07,295.0555479643573,7138.330498673569
realistic_no_refill,pool_L,month,2025-08,867.3607105294764,6566.025336108451
realistic_no_refill,pool_L,month,2025-09,434.2980309539731,6999.088015683953
realistic_no_refill,pool_L,month,2025-10,-26.616921748506286,7460.002968386433
realistic_no_refill,pool_L,month,2025-11,78.15820619460531,7355.227840443321
realistic_no_refill,pool_L,month,2025-12,406.2275363526596,7027.158510285267
visible_pretrade_refill,pool_L,month,2022-01,-1015.213954990238,9613.923978199373
visible_pretrade_refill,pool_L,month,2022-02,810.9967978770154,7787.713225332119
visible_pretrade_refill,pool_L,month,2022-03,-183.46695557603877,8782.176978785174
visible_pretrade_refill,pool_L,month,2022-04,-724.2523583056729,9322.962381514808
