case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w0931_0940_hclose,09:31-09:40,close,pool_L,2024,H1,6,24.648474,19.56309045763621,0.0270691063337013,0.0130665254927179,5,4
w0931_0940_hclose,09:31-09:40,close,pool_L,2024,H2,6,18.562817,12.144456115953984,0.0232420423242525,0.014584392686773,6,3
w0931_0940_hclose,09:31-09:40,close,pool_L,2025,H1,6,15.602043,18.210790720008493,0.0094187112650368,0.0072419650583053,5,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2025,H2,6,15.505744,18.634508592352123,0.016060007337414,0.0102859430754532,6,6
w1001_1010_h1m,10:01-10:10,1m,universe,2022,H1,6,18.525705,-12.524919855804262,0.2563822206038169,0.0147515494668484,6,2
w1001_1010_h1m,10:01-10:10,1m,universe,2022,H2,6,15.887982,-21.18114725867189,0.2604007866270015,0.005866878975897,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2023,H1,6,14.163967,2.6443319576331827,0.2654117965337245,0.0158658622804563,6,3
w1001_1010_h1m,10:01-10:10,1m,universe,2023,H2,6,13.946353,-34.184881574349866,0.2633433939415711,-0.0027490198364569,6,0
w1001_1010_h1m,10:01-10:10,1m,universe,2024,H1,6,16.29697,-11.960994625546872,0.2758838848710341,0.0241933125876111,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2024,H2,6,17.179367,-30.30863457270093,0.2677243693270156,-0.0011006060608231,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2025,H1,6,13.243743,-24.46882214030917,0.2716498829538269,0.0066660978764843,6,2
w1001_1010_h1m,10:01-10:10,1m,universe,2025,H2,6,10.449748,-16.02542693291024,0.2426467372290583,0.0094043320035481,6,2
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022,H1,6,10.590199,15.792371500553338,0.2376930701315631,0.0116863000626438,6,4
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022,H2,6,9.627663,-1.5442197645382478,0.2390283037426941,0.002661199763492,6,2
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023,H1,6,8.742668,18.306781255176396,0.2500690617751237,0.0120450434491765,6,6
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023,H2,6,7.264494,-6.337713458053021,0.2452035314195129,-0.0084972027188866,6,1
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024,H1,6,9.547676,18.825573266545337,0.2673636243840426,0.0235156431385344,6,6
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024,H2,6,8.824803,0.8900123710643782,0.2578223756572288,-0.0072353843995636,6,3
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025,H1,6,7.567962,4.048982949509127,0.2750981199510933,0.0037702903982528,6,3
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025,H2,6,6.181166,10.695062889171462,0.2331358556998998,0.0034281482589001,6,4
w1001_1010_h3m,10:01-10:10,3m,universe,2022,H1,6,18.940832,-10.341236292122716,0.1918638291461502,0.0176262562819057,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2022,H2,6,16.285158,-15.21803482540912,0.186632941195346,0.0039081556524849,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2023,H1,6,13.832557,5.894552809684895,0.1875739407188651,0.0196439394898136,6,3
w1001_1010_h3m,10:01-10:10,3m,universe,2023,H2,6,13.851689,-28.27221643267733,0.1895857265173856,-0.0004039330176901,6,0
w1001_1010_h3m,10:01-10:10,3m,universe,2024,H1,6,14.467049,-6.327513852634232,0.195540875152288,0.0287722621034041,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2024,H2,6,15.553017,-27.53441011042112,0.1935149806360671,0.0012563905128481,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2025,H1,6,13.161681,-25.33495102744268,0.196356417756112,0.006898612393954,6,1
w1001_1010_h3m,10:01-10:10,3m,universe,2025,H2,6,11.063708,-10.808096930525949,0.1710769246842792,0.0060425123573443,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022,H1,6,11.664861,22.386810879719988,0.1785080277540841,0.0156975674660423,6,5
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022,H2,6,9.761128,1.361500224928524,0.1679630048458475,0.0011148649941835,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023,H1,6,8.853527,16.920723666411728,0.1737299609818589,0.0150192907507716,6,5
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023,H2,6,7.5060897,-4.572926080987611,0.1745852699105258,-0.0060008739611575,6,2
