variant,scope,bucket_count,bucket,groups,mean_excess_bps,mean_within_group_outcome_rank_pct,x
ds350_w0931_0940_h1m_max30,pool_L,20,9,9690,0.19339240579044117,0.5048986267987574,42.5
ds350_w0931_0940_h1m_max30,pool_L,20,10,9690,-0.34592564821981425,0.504371060854213,47.5
ds350_w0931_0940_h1m_max30,pool_L,20,11,9690,-0.19244107619404668,0.5044046679522579,52.5
ds350_w0931_0940_h1m_max30,pool_L,20,12,9690,-0.18710269829560114,0.504119122486873,57.5
ds350_w0931_0940_h1m_max30,pool_L,20,13,9690,-0.4782816128095975,0.5034721619563252,62.5
ds350_w0931_0940_h1m_max30,pool_L,20,14,9690,-0.5854460441660216,0.5029804106637169,67.5
ds350_w0931_0940_h1m_max30,pool_L,20,15,9690,-0.6671697626418989,0.5021851101457189,72.5
ds350_w0931_0940_h1m_max30,pool_L,20,16,9690,-1.0914757885061919,0.5009804223954483,77.5
ds350_w0931_0940_h1m_max30,pool_L,20,17,9690,-1.340286579269866,0.4995086049000625,82.5
ds350_w0931_0940_h1m_max30,pool_L,20,18,9690,-2.615551833397833,0.4965807044865281,87.5
ds350_w0931_0940_h1m_max30,pool_L,20,19,9690,-4.681276606037152,0.49211353941750985,92.5
ds350_w0931_0940_h1m_max30,pool_L,20,20,9690,-16.113946400928793,0.4747773135551971,97.5
ds350_w0931_0940_h1m_max30,pool_L,50,1,9690,19.915649187306503,0.48120118561944375,1.0
ds350_w0931_0940_h1m_max30,pool_L,50,2,9690,11.812862809597524,0.49291582960181485,3.0
ds350_w0931_0940_h1m_max30,pool_L,50,3,9690,8.3664159249226,0.4974035719238306,5.0
ds350_w0931_0940_h1m_max30,pool_L,50,4,9690,6.675188660990712,0.49993321726174544,7.0
ds350_w0931_0940_h1m_max30,pool_L,50,5,9690,4.822152347781218,0.5006578562038511,9.0
ds350_w0931_0940_h1m_max30,pool_L,50,6,9690,4.043404524638803,0.5019597151391271,11.0
ds350_w0931_0940_h1m_max30,pool_L,50,7,9690,3.791126886609907,0.5033495221987476,13.0
ds350_w0931_0940_h1m_max30,pool_L,50,8,9690,2.2095162941821465,0.503059345506252,15.0
ds350_w0931_0940_h1m_max30,pool_L,50,9,9690,2.180452625128999,0.5035978938480528,17.0
ds350_w0931_0940_h1m_max30,pool_L,50,10,9690,1.9587864422084624,0.5040026838689777,19.0
ds350_w0931_0940_h1m_max30,pool_L,50,11,9690,1.0894376048116614,0.5040190257466116,21.0
ds350_w0931_0940_h1m_max30,pool_L,50,12,9690,0.5367362857972137,0.5037621523190682,23.0
ds350_w0931_0940_h1m_max30,pool_L,50,13,9690,0.6059096644414345,0.5039870319245111,25.0
ds350_w0931_0940_h1m_max30,pool_L,50,14,9690,0.841088438870614,0.504720635134349,27.0
ds350_w0931_0940_h1m_max30,pool_L,50,15,9690,0.5694276477038184,0.5045849007592392,29.0
ds350_w0931_0940_h1m_max30,pool_L,50,16,9690,0.2489380260739164,0.5042384914726291,31.0
ds350_w0931_0940_h1m_max30,pool_L,50,17,9690,-0.026431183081785346,0.5044612994887914,33.0
ds350_w0931_0940_h1m_max30,pool_L,50,18,9690,0.294921875,0.5047418581337693,35.0
ds350_w0931_0940_h1m_max30,pool_L,50,19,9690,0.4046223202480005,0.504728746679097,37.0
ds350_w0931_0940_h1m_max30,pool_L,50,20,9690,-0.326076284749097,0.504094644694717,39.0
ds350_w0931_0940_h1m_max30,pool_L,50,21,9690,0.3529580823900284,0.5052284031817152,41.0
ds350_w0931_0940_h1m_max30,pool_L,50,22,9690,0.29066599244549796,0.5049328190184599,43.0
ds350_w0931_0940_h1m_max30,pool_L,50,23,9690,-0.6085246650058049,0.5041768449756566,45.0
ds350_w0931_0940_h1m_max30,pool_L,50,24,9690,-0.06669635910490841,0.504346056396394,47.0
ds350_w0931_0940_h1m_max30,pool_L,50,25,9690,-0.35250192490647575,0.5044878095397594,49.0
ds350_w0931_0940_h1m_max30,pool_L,50,26,9690,-0.00782713678476119,0.5047259829205882,51.0
ds350_w0931_0940_h1m_max30,pool_L,50,27,9690,-0.2008374350973942,0.5045286601749793,53.0
ds350_w0931_0940_h1m_max30,pool_L,50,28,9690,-0.36454649808114037,0.5039783239751927,55.0
ds350_w0931_0940_h1m_max30,pool_L,50,29,9690,0.02847917397324884,0.5043588269229106,57.0
ds350_w0931_0940_h1m_max30,pool_L,50,30,9690,-0.3964240830995227,0.5037215702147252,59.0
ds350_w0931_0940_h1m_max30,pool_L,50,31,9690,-0.5247694647349072,0.5036287277528021,61.0
ds350_w0931_0940_h1m_max30,pool_L,50,32,9690,-0.7902384566079721,0.5030837054021108,63.0
ds350_w0931_0940_h1m_max30,pool_L,50,33,9690,-0.11306041485261868,0.5035205826232295,65.0
ds350_w0931_0940_h1m_max30,pool_L,50,34,9690,-0.5395726002160732,0.502848412255863,67.0
ds350_w0931_0940_h1m_max30,pool_L,50,35,9690,-0.6964430550180598,0.503047617423838,69.0
ds350_w0931_0940_h1m_max30,pool_L,50,36,9690,-0.6671575682082044,0.5024415868619304,71.0
ds350_w0931_0940_h1m_max30,pool_L,50,37,9690,-0.6083151928534571,0.50239465341267,73.0
ds350_w0931_0940_h1m_max30,pool_L,50,38,9690,-0.7541686318853199,0.5015328092289784,75.0
ds350_w0931_0940_h1m_max30,pool_L,50,39,9690,-1.0611395647897317,0.5009808449509295,77.0
ds350_w0931_0940_h1m_max30,pool_L,50,40,9690,-1.3067158072110423,0.5005599901841655,79.0
ds350_w0931_0940_h1m_max30,pool_L,50,41,9690,-1.1939554913248194,0.5002847898638009,81.0
ds350_w0931_0940_h1m_max30,pool_L,50,42,9690,-1.054793017124613,0.49939492524470463,83.0
ds350_w0931_0940_h1m_max30,pool_L,50,43,9690,-1.883764673632611,0.49842383239801913,85.0
ds350_w0931_0940_h1m_max30,pool_L,50,44,9690,-2.4136863873839007,0.4970342723999524,87.0
ds350_w0931_0940_h1m_max30,pool_L,50,45,9690,-3.347076560887513,0.49507970135224577,89.0
ds350_w0931_0940_h1m_max30,pool_L,50,46,9690,-3.984111358359133,0.4937213563625141,91.0
ds350_w0931_0940_h1m_max30,pool_L,50,47,9690,-4.9763375580495355,0.49153992968093063,93.0
ds350_w0931_0940_h1m_max30,pool_L,50,48,9690,-6.051989405959753,0.4888132743944429,95.0
ds350_w0931_0940_h1m_max30,pool_L,50,49,9690,-9.564299535603714,0.48257310924944774,97.0
ds350_w0931_0940_h1m_max30,pool_L,50,50,9690,-27.497852167182664,0.4604703894559745,99.0
ds350_w0931_0940_h1m_max30,top1000,10,1,9690,17.612453237874096,0.48478205056759544,50.0
ds350_w0931_0940_h1m_max30,top1000,10,2,9690,9.20608633255934,0.4963336418988648,150.0
ds350_w0931_0940_h1m_max30,top1000,10,3,9690,5.991945223813209,0.49988695098039215,250.0
ds350_w0931_0940_h1m_max30,top1000,10,4,9690,4.591839202786378,0.501767399380805,350.0
ds350_w0931_0940_h1m_max30,top1000,10,5,9690,3.292062935371517,0.5029611532507741,450.0
ds350_w0931_0940_h1m_max30,top1000,10,6,9690,2.1032753644220845,0.5032130675954593,550.0
ds350_w0931_0940_h1m_max30,top1000,10,7,9690,1.7498185952012384,0.5037635242518059,650.0
ds350_w0931_0940_h1m_max30,top1000,10,8,9690,0.9995739002837978,0.5041013555211558,750.0
ds350_w0931_0940_h1m_max30,top1000,10,9,9690,0.44207261029411765,0.5036720134158926,850.0
ds350_w0931_0940_h1m_max30,top1000,10,10,9690,0.7952786377708978,0.5045188431372549,950.0
ds350_w0931_0940_h1m_max30,top1000,20,1,9690,21.462443562951496,0.4790560010319917,25.0
ds350_w0931_0940_h1m_max30,top1000,20,2,9690,13.762464525283798,0.4905081001031991,75.0
ds350_w0931_0940_h1m_max30,top1000,20,3,9690,10.246538796439628,0.49494590712074304,125.0
ds350_w0931_0940_h1m_max30,top1000,20,4,9690,8.1656330624355,0.4977213766769866,175.0
ds350_w0931_0940_h1m_max30,top1000,20,5,9690,7.242769607843138,0.5001678400412797,225.0
ds350_w0931_0940_h1m_max30,top1000,20,6,9690,4.7411204366615065,0.4996060619195047,275.0
ds350_w0931_0940_h1m_max30,top1000,20,7,9690,4.679246887899897,0.5012377574819402,325.0
ds350_w0931_0940_h1m_max30,top1000,20,8,9690,4.504431517672859,0.5022970412796697,375.0
ds350_w0931_0940_h1m_max30,top1000,20,9,9690,3.6813963332043342,0.5030028771929825,425.0
ds350_w0931_0940_h1m_max30,top1000,20,10,9690,2.9027295375386997,0.5029194293085656,475.0
ds350_w0931_0940_h1m_max30,top1000,20,11,9690,2.0101407298116616,0.5032387316821466,525.0
ds350_w0931_0940_h1m_max30,top1000,20,12,9690,2.1964102005933954,0.5031874035087719,575.0
ds350_w0931_0940_h1m_max30,top1000,20,13,9690,1.805003144349845,0.503667520123839,625.0
ds350_w0931_0940_h1m_max30,top1000,20,14,9690,1.6946340460526317,0.503859528379773,675.0
ds350_w0931_0940_h1m_max30,top1000,20,15,9690,1.1140415376676986,0.5042322198142415,725.0
ds350_w0931_0940_h1m_max30,top1000,20,16,9690,0.8851064644607843,0.5039704912280701,775.0
ds350_w0931_0940_h1m_max30,top1000,20,17,9690,0.7958508691305469,0.5038771331269349,825.0
ds350_w0931_0940_h1m_max30,top1000,20,18,9690,0.08829435145768834,0.5034668937048503,875.0
ds350_w0931_0940_h1m_max30,top1000,20,19,9690,1.0053273550374098,0.5047539360165119,925.0
ds350_w0931_0940_h1m_max30,top1000,20,20,9690,0.5852300716750516,0.504283750257998,975.0
ds350_w0931_0940_h1m_max30,top1000,50,1,9690,24.015118679050566,0.47172378224974204,10.0
ds350_w0931_0940_h1m_max30,top1000,50,2,9690,20.503049213106294,0.4828054772961816,30.0
ds350_w0931_0940_h1m_max30,top1000,50,3,9690,16.584900670794635,0.48652420020639836,50.0
ds350_w0931_0940_h1m_max30,top1000,50,4,9690,14.779621388028895,0.4907895717234262,70.0
ds350_w0931_0940_h1m_max30,top1000,50,5,9690,12.179579463364293,0.4920672213622291,90.0
ds350_w0931_0940_h1m_max30,top1000,50,6,9690,10.591860971362228,0.4932311042311662,110.0
ds350_w0931_0940_h1m_max30,top1000,50,7,9690,10.181117776057791,0.49570169762641897,130.0
ds350_w0931_0940_h1m_max30,top1000,50,8,9690,9.647230553405572,0.4971665763673891,150.0
ds350_w0931_0940_h1m_max30,top1000,50,9,9690,6.877742034313726,0.4963894994840041,170.0
ds350_w0931_0940_h1m_max30,top1000,50,10,9690,8.732477908926729,0.49917933178534574,190.0
ds350_w0931_0940_h1m_max30,top1000,50,11,9690,7.360087719298246,0.49914288957688335,210.0
ds350_w0931_0940_h1m_max30,top1000,50,12,9690,7.573097265221878,0.5006870072239422,230.0
ds350_w0931_0940_h1m_max30,top1000,50,13,9690,6.155584042827657,0.5006837358101135,250.0
ds350_w0931_0940_h1m_max30,top1000,50,14,9690,4.329433533281733,0.4989669298245614,270.0
ds350_w0931_0940_h1m_max30,top1000,50,15,9690,4.541523558436532,0.4999541924664603,290.0
ds350_w0931_0940_h1m_max30,top1000,50,16,9690,5.301989002837978,0.5012816124871001,310.0
ds350_w0931_0940_h1m_max30,top1000,50,17,9690,4.5337223458462335,0.5010983178534572,330.0
ds350_w0931_0940_h1m_max30,top1000,50,18,9690,4.819276880159959,0.5025979463364293,350.0
ds350_w0931_0940_h1m_max30,top1000,50,19,9690,4.441211945304437,0.5020132404540764,370.0
ds350_w0931_0940_h1m_max30,top1000,50,20,9690,3.8629958397832818,0.5018458797729618,390.0
ds350_w0931_0940_h1m_max30,top1000,50,21,9690,4.085564612358101,0.5032085423116615,410.0
ds350_w0931_0940_h1m_max30,top1000,50,22,9690,3.5301131965944275,0.5031037925696594,430.0
ds350_w0931_0940_h1m_max30,top1000,50,23,9690,2.773467331011352,0.5024006346749226,450.0
ds350_w0931_0940_h1m_max30,top1000,50,24,9690,2.7442942143962847,0.5024649638802889,470.0
ds350_w0931_0940_h1m_max30,top1000,50,25,9690,3.3268755240583077,0.5036278328173375,490.0
ds350_w0931_0940_h1m_max30,top1000,50,26,9690,2.128047600619195,0.5029933926728586,510.0
ds350_w0931_0940_h1m_max30,top1000,50,27,9690,1.7383473619711043,0.5033113622291021,530.0
ds350_w0931_0940_h1m_max30,top1000,50,28,9690,2.674621065531476,0.5039133642930856,550.0
ds350_w0931_0940_h1m_max30,top1000,50,29,9690,2.5553431775670794,0.5029949097007224,570.0
ds350_w0931_0940_h1m_max30,top1000,50,30,9690,1.420017817982456,0.5028523090815273,590.0
ds350_w0931_0940_h1m_max30,top1000,50,31,9690,2.214988269156347,0.5039882585139319,610.0
