case,window,label,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w0931_0940_h1h,09:31-09:40,1h,pool_L,2023,H2,6,23.85594,11.365119722143511,0.0254685831288162,-0.0012178447825363,6,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2024,H1,6,11.4643135,16.95642139528397,0.0249919092521447,0.0137418461728548,5,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2024,H2,6,14.389221,18.06991763917977,0.0216831507265455,0.0042852105244727,6,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2025,H1,6,10.571509,16.441934982729606,0.0210372003826666,0.0109544710349046,5,5
w0931_0940_h1h,09:31-09:40,1h,pool_L,2025,H2,6,15.856929,22.889007564336648,0.0168250002117611,0.0013797715938433,6,6
w0931_0940_hclose,09:31-09:40,close,universe,2022,H1,6,72.09145,31.76114544232941,0.055074879231261,0.0378453975290093,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2022,H2,6,50.325672,27.907701383738114,0.0452844268082723,0.0316800062636258,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2023,H1,6,45.494644,29.990648459648344,0.0308882189428932,0.0208538324929482,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2023,H2,6,49.04256,6.533624489249086,0.0346826220204623,0.0167228357605494,6,4
w0931_0940_hclose,09:31-09:40,close,universe,2024,H1,6,71.25844,26.49346208748849,0.049445242930669,0.0299948335714331,6,4
w0931_0940_hclose,09:31-09:40,close,universe,2024,H2,6,60.78511,9.814065192606202,0.036104767054254,0.0189403762340046,6,3
w0931_0940_hclose,09:31-09:40,close,universe,2025,H1,6,40.976063,6.049654830696988,0.0213853575534535,0.0144476467342806,6,3
w0931_0940_hclose,09:31-09:40,close,universe,2025,H2,6,32.96306,9.275641821739468,0.0189455693672401,0.0065333375914805,6,4
w0931_0940_hclose,09:31-09:40,close,pool_L,2022,H1,6,40.125072,47.854437312705386,0.0468226965148002,0.0350437760040364,6,6
w0931_0940_hclose,09:31-09:40,close,pool_L,2022,H2,6,22.583725,21.459950776934388,0.0344234715742454,0.0246151335139474,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2023,H1,6,25.113962,32.33927340547838,0.0211686770408696,0.0125133946092747,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2023,H2,6,22.618856,12.83601064473983,0.0245533953079597,0.0103813440373437,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2024,H1,6,33.67544,30.081431027186262,0.037556949497305,0.0204829258448505,5,4
w0931_0940_hclose,09:31-09:40,close,pool_L,2024,H2,6,22.611053,21.78691342114914,0.0258248109773334,0.0177433836592216,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2025,H1,6,17.655869,23.90128874448329,0.0143619538550304,0.0127747406711242,5,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2025,H2,6,19.634626,21.577966514443816,0.0163810782757625,0.0074358706747388,6,6
w1001_1010_h1m,10:01-10:10,1m,universe,2022,H1,6,18.56284,-14.81886020349242,0.2562239986418943,0.013749091954353,6,2
w1001_1010_h1m,10:01-10:10,1m,universe,2022,H2,6,15.564298,-19.367252162468564,0.2585060704048059,0.0016379995880558,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2023,H1,6,14.220342,1.8747071548959304,0.2652323026653802,0.0155576211203585,6,3
w1001_1010_h1m,10:01-10:10,1m,universe,2023,H2,6,13.7595825,-30.03375552575828,0.2586406276340265,-0.0024059932313052,6,0
w1001_1010_h1m,10:01-10:10,1m,universe,2024,H1,6,16.52505,-11.502039945040456,0.271495046534233,0.0256017413957809,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2024,H2,6,16.967714,-28.302227270923765,0.2673894622183061,-0.0012796552255411,6,1
w1001_1010_h1m,10:01-10:10,1m,universe,2025,H1,6,13.326469,-27.56207001476572,0.2709661225550264,0.0080899076002933,6,2
w1001_1010_h1m,10:01-10:10,1m,universe,2025,H2,6,10.497737,-14.730175927096134,0.2425940327558293,0.0104855752160505,6,2
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022,H1,6,10.69769,14.775433962265744,0.2378561548236556,0.010728399569853,6,4
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022,H2,6,9.420655,-1.4002170263165652,0.2368913778808245,-0.0016320492313013,6,3
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023,H1,6,8.758035,18.31176789873888,0.2496597748489651,0.012077170002999,6,5
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023,H2,6,7.213674,-5.608028702747846,0.239497105926237,-0.0088069726468743,6,1
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024,H1,6,9.49454,21.992701032647687,0.2633756721338074,0.0246808986257094,6,6
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024,H2,6,8.702696,1.1565556630299474,0.2573225529244917,-0.0074699208990839,6,3
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025,H1,6,7.627065,3.1374408126954934,0.274677126227238,0.0045738530263355,6,4
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025,H2,6,6.1876683,11.362984296428726,0.2330914585953206,0.003887036794646,6,4
w1001_1010_h3m,10:01-10:10,3m,universe,2022,H1,6,18.78765,-3.5111503418054277,0.1911686447431927,0.0188792464940385,6,3
w1001_1010_h3m,10:01-10:10,3m,universe,2022,H2,6,16.009703,-14.840875988809628,0.1864860070214242,0.001585359661234,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2023,H1,6,14.047175,6.217338194208625,0.1891668787048457,0.0197461818018476,6,4
w1001_1010_h3m,10:01-10:10,3m,universe,2023,H2,6,13.976611,-26.650380188480657,0.1897075132848686,0.0015103418286291,6,0
w1001_1010_h3m,10:01-10:10,3m,universe,2024,H1,6,15.337878,-2.2813933928493517,0.1974083215322146,0.0293865580467108,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2024,H2,6,16.33,-24.48622023449602,0.193177964338103,0.0016451461276471,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2025,H1,6,13.207124,-24.84392637869125,0.1954979839728196,0.0067514340117681,6,2
w1001_1010_h3m,10:01-10:10,3m,universe,2025,H2,6,10.902112,-13.306999901392157,0.1701202109574856,0.0078923537885774,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022,H1,6,11.366298,20.69236366192981,0.1765660352465441,0.0160927290762926,6,5
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022,H2,6,9.667268,0.7363992867048935,0.1678569709629764,-0.0013268361852146,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023,H1,6,8.900144,18.68539263529928,0.1755757773548229,0.0148428533472336,6,5
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023,H2,6,7.5244613,-2.838296420879462,0.1743902100109337,-0.0051556184504187,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024,H1,6,8.649136,23.0583609959359,0.1913067900465712,0.0259390035162047,6,6
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024,H2,6,8.34991,5.821629835492015,0.185031603918956,-0.0055368767537097,6,3
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025,H1,6,7.3731866,6.647372854206299,0.1999942251891125,0.0056597864218483,6,4
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025,H2,6,6.6686707,13.405307493179407,0.1610550176804245,0.0016884855808382,6,4
w1001_1010_h5m,10:01-10:10,5m,universe,2022,H1,6,19.580593,-3.273970198745413,0.1628725280847099,0.018978341219582,6,2
