case,window,label,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_hclose,09:31-09:40,close,universe,2022Q3,650,3,4740.796923076923,100.0,-16.352331,36.2122,52.56453,-34.06980605597991,-5.347431063755367,28.722374992224545,0.0469259587280601,0.0338018164332034
w0931_0940_hclose,09:31-09:40,close,universe,2022Q4,600,3,4843.95,100.0,2.019919,48.70529,46.68537,20.1116806021296,46.03920192914211,25.927521327012503,0.0441079231757729,0.0312908893129973
w0931_0940_hclose,09:31-09:40,close,universe,2023Q1,590,3,4903.206779661017,100.0,4.7367773,41.339993,36.603214,18.527240616927195,43.75497143837388,25.227730821446688,0.0337347846391668,0.0237376887401735
w0931_0940_hclose,09:31-09:40,close,universe,2023Q2,590,3,4948.079661016949,100.0,3.1539924,59.10355,55.94956,-4.0762491673808965,34.54682268270384,38.623071850084735,0.0276283076381137,0.0179704081650288
w0931_0940_hclose,09:31-09:40,close,universe,2023Q3,640,3,5022.0,100.0,-9.921216,41.020515,50.941734,-17.314339898881688,-13.419620535589091,3.8947193632925936,0.0346977815105745,0.0124905116431409
w0931_0940_hclose,09:31-09:40,close,universe,2023Q4,600,3,5059.725,100.0,2.054974,49.49999,47.445015,3.5447935953976115,12.811107281363642,9.266313685966033,0.0357138887100823,0.0223807773716625
w0931_0940_hclose,09:31-09:40,close,universe,2024Q1,580,3,5077.527586206897,100.0,-9.648823,65.846855,75.495674,-20.23503954428948,24.653083676816458,44.888123221105936,0.0587924821558704,0.0391584734418206
w0931_0940_hclose,09:31-09:40,close,universe,2024Q2,590,3,5075.981355932204,100.0,-12.511572,46.210365,58.721935,-37.91239879124014,-44.75278997916215,-6.840391187922012,0.0318216387180796,0.0118824883959524
w0931_0940_hclose,09:31-09:40,close,universe,2024Q3,640,3,5067.2359375,100.0,16.114588,72.307526,56.19294,57.485023779697336,70.78356605737913,13.298542277681792,0.027181275743128,-0.0012586729130647
w0931_0940_hclose,09:31-09:40,close,universe,2024Q4,610,3,5052.804918032787,100.0,-7.3066397,55.359226,62.665867,-13.030749753195249,-12.504615217371228,0.5261345358240184,0.0448821432613743,0.0388814131124096
w0931_0940_hclose,09:31-09:40,close,universe,2025Q1,570,3,5093.742105263158,100.0,9.522396,52.219822,42.697426,25.03830064706247,19.46338469378966,-5.574915953272812,0.0239975137746271,0.0127968330540013
w0931_0940_hclose,09:31-09:40,close,universe,2025Q2,600,3,5098.201666666667,100.0,11.589506,49.385666,37.796158,22.85772208040108,37.72322928132501,14.865507200923922,0.0186675792242779,0.0161933375830074
w0931_0940_hclose,09:31-09:40,close,universe,2025Q3,660,3,5120.504545454545,100.0,13.659785,35.570885,21.9111,34.660628848172806,29.57977573107172,-5.080853117101088,0.0101626028398858,-0.0053508337024351
w0931_0940_hclose,09:31-09:40,close,universe,2025Q4,600,3,5130.866666666667,100.0,4.6543436,49.49093,44.836586,10.370319410203304,33.66882459772158,23.298505187518284,0.0267380235753041,0.0161500978227068
