Exit code: 0
Wall time: 0.1 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
visible_pretrade_refill,pool_L,month,2025-01,167.260205702988,8263.870877249261
visible_pretrade_refill,pool_L,month,2025-02,1204.829555757042,7226.301527195206
visible_pretrade_refill,pool_L,month,2025-03,-71.59183034757743,8502.722913299825
visible_pretrade_refill,pool_L,month,2025-04,188.7598623493471,8242.371220602901
visible_pretrade_refill,pool_L,month,2025-05,3.3531924351114775,8427.777890517136
visible_pretrade_refill,pool_L,month,2025-06,519.478271238917,7911.652811713331
visible_pretrade_refill,pool_L,month,2025-07,408.1811734361533,8022.9499095160945
visible_pretrade_refill,pool_L,month,2025-08,1087.7564230406217,7343.374659911627
visible_pretrade_refill,pool_L,month,2025-09,556.7287198130014,7874.4023631392465
visible_pretrade_refill,pool_L,month,2025-10,-82.37180266072333,8513.502885612972
visible_pretrade_refill,pool_L,month,2025-11,15.785075648036212,8415.346007304212
visible_pretrade_refill,pool_L,month,2025-12,527.5724483418005,7903.558634610447
capacity_only,pool_L,quarter,2022Q1,-234.4175132605456,9224.215987482
capacity_only,pool_L,quarter,2022Q2,1049.0717358724903,7940.726738348965
capacity_only,pool_L,quarter,2022Q3,-909.432511461076,9899.230985682532
capacity_only,pool_L,quarter,2022Q4,689.4103207463065,8300.388153475149
capacity_only,pool_L,quarter,2023Q1,1103.245692799231,7886.552781422225
capacity_only,pool_L,quarter,2023Q2,1044.3916757412055,7945.4067984802505
capacity_only,pool_L,quarter,2023Q3,-390.8118393082035,9380.61031352966
capacity_only,pool_L,quarter,2023Q4,197.81755285693833,8791.980921364517
capacity_only,pool_L,quarter,2024Q1,381.7045119890689,8608.093962232388
capacity_only,pool_L,quarter,2024Q2,-726.9614563291973,9716.759930550654
capacity_only,pool_L,quarter,2024Q3,1903.194889261398,7086.603584960058
capacity_only,pool_L,quarter,2024Q4,204.62429260050277,8785.174181620952
capacity_only,pool_L,quarter,2025Q1,1341.080164024808,7648.7183101966475
capacity_only,pool_L,quarter,2025Q2,783.1326387685494,8206.665835452906
capacity_only,pool_L,quarter,2025Q3,2060.9474761303677,6928.850998091088
capacity_only,pool_L,quarter,2025Q4,492.8008437896123,8496.997630431844
realistic_no_refill,pool_L,quarter,2022Q1,-222.77234321309777,7406.393044034212
realistic_no_refill,pool_L,quarter,2022Q2,847.4449963646265,6336.175704456487
realistic_no_refill,pool_L,quarter,2022Q3,-735.2211763169176,7918.841877138032
realistic_no_refill,pool_L,quarter,2022Q4,517.4080418386438,6666.21265898247
realistic_no_refill,pool_L,quarter,2023Q1,902.637894780351,6280.9828060407635
realistic_no_refill,pool_L,quarter,2023Q2,798.603657256643,6385.017043564471
realistic_no_refill,pool_L,quarter,2023Q3,-238.79461560728384,7422.415316428398
realistic_no_refill,pool_L,quarter,2023Q4,133.64872155753835,7049.971979263576
realistic_no_refill,pool_L,quarter,2024Q1,175.21485138627432,7008.40584943484
realistic_no_refill,pool_L,quarter,2024Q2,-584.241462838614,7767.862163659728
realistic_no_refill,pool_L,quarter,2024Q3,1584.8015212087619,5598.819179612352
realistic_no_refill,pool_L,quarter,2024Q4,187.48555455375043,6996.135146267364
realistic_no_refill,pool_L,quarter,2025Q1,1073.5507044136073,6110.069996407507
realistic_no_refill,pool_L,quarter,2025Q2,584.0564937835136,6599.564207037601
realistic_no_refill,pool_L,quarter,2025Q3,1771.1218503038008,5412.498850517313
realistic_no_refill,pool_L,quarter,2025Q4,388.67601134951633,6794.9446894715975
visible_pretrade_refill,pool_L,quarter,2022Q1,-387.66540042448156,8818.79648337673
visible_pretrade_refill,pool_L,quarter,2022Q2,1050.1031340666054,7381.027948885643
visible_pretrade_refill,pool_L,quarter,2022Q3,-934.7256854443787,9365.856768396627
visible_pretrade_refill,pool_L,quarter,2022Q4,661.5438020962573,7769.587280855991
visible_pretrade_refill,pool_L,quarter,2023Q1,1042.638814281198,7388.492268671051
visible_pretrade_refill,pool_L,quarter,2023Q2,850.828303247425,7580.3027797048235
visible_pretrade_refill,pool_L,quarter,2023Q3,-342.9371116637734,8774.068194616022
visible_pretrade_refill,pool_L,quarter,2023Q4,151.9730130764832,8279.158069875764
visible_pretrade_refill,pool_L,quarter,2024Q1,400.26917292051337,8030.861910031735
visible_pretrade_refill,pool_L,quarter,2024Q2,-663.0346318333181,9094.165714785566
visible_pretrade_refill,pool_L,quarter,2024Q3,1925.8889423933879,6505.24214055886
visible_pretrade_refill,pool_L,quarter,2024Q4,150.50743548161188,8280.623647470637
visible_pretrade_refill,pool_L,quarter,2025Q1,1300.4979311124525,7130.633151839796
visible_pretrade_refill,pool_L,quarter,2025Q2,711.5913260233756,7719.5397569288725
visible_pretrade_refill,pool_L,quarter,2025Q3,2052.6663162897767,6378.464766662471
visible_pretrade_refill,pool_L,quarter,2025Q4,460.98572132911335,7970.145361623135
